STATE NAME,AGENCY NAME- BY SURVEY YEAR (DISTRICT),SCHOOL NAME- BY SURVEY YEAR (SCHOOL),STATE ABBR (SCHOOL),COUNTY NAME (SCHOOL),COUNTY NUMBER (SCHOOL),STATE SCHOOL ID (SCHOOL),STATE AGENCY ID (SCHOOL),TOTAL- AMER IND/AK NATIVE- MALE(SCHOOL),TOTAL- AMER IND/AK NATIVE- FEMALE (SCHOOL),TOTAL- ASIAN/PACIFIC ISLANDER- MALE (SCHOOL),TOTAL- ASIAN/PACIFIC ISLANDER- FEMALE (SCHOOL),TOTAL- BLACK NON-HISPANIC- MALE (SCHOOL),TOTAL- BLACK NON-HISPANIC- FEMALE (SCHOOL),TOTAL- HISPANIC- MALE (SCHOOL),TOTAL- HISPANIC- FEMALE (SCHOOL),TOTAL- WHITE NON-HISPANIC- MALE (SCHOOL),TOTAL- WHITE NON-HISPANIC- FEMALE (SCHOOL),TOTAL PREKINDERGARTEN- MALE (SCHOOL),TOTAL PREKINDERGARTEN- FEMALE (SCHOOL),TOTAL KINDERGARTEN- MALE (SCHOOL),TOTAL KINDERGARTEN- FEMALE (SCHOOL),TOTAL GRADE 1- MALE (SCHOOL),TOTAL GRADE 1- FEMALE (SCHOOL),TOTAL GRADE 2- MALE (SCHOOL),TOTAL GRADE 2- FEMALE (SCHOOL),TOTAL GRADE 3- MALE (SCHOOL),TOTAL GRADE 3- FEMALE (SCHOOL),TOTAL GRADE 4- MALE (SCHOOL),TOTAL GRADE 4- FEMALE (SCHOOL),TOTAL GRADE 5- MALE (SCHOOL),TOTAL GRADE 5- FEMALE (SCHOOL),TOTAL GRADE 6- MALE (SCHOOL),TOTAL GRADE 6- FEMALE (SCHOOL),TOTAL GRADE 7- MALE (SCHOOL),TOTAL GRADE 7- FEMALE (SCHOOL),TOTAL GRADE 8- MALE (SCHOOL),TOTAL GRADE 8- FEMALE (SCHOOL),TOTAL GRADE 9- MALE (SCHOOL),TOTAL GRADE 9- FEMALE (SCHOOL),TOTAL GRADE 10- MALE (SCHOOL),TOTAL GRADE 10- FEMALE (SCHOOL),TOTAL GRADE 11- MALE (SCHOOL),TOTAL GRADE 11- FEMALE (SCHOOL),TOTAL GRADE 12- MALE (SCHOOL),TOTAL GRADE 12- FEMALE (SCHOOL),TOTAL UNGRADED- MALE (SCHOOL),TOTAL UNGRADED- FEMALE (SCHOOL)
Michigan,ACADEMIC AND CAREER EDUCATION ACADEMY,ACADEMIC AND CAREER EDUCATION ACADEMY,MI,Midland,26111,09696,56903,2,1,,,3,1,2,1,55,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,21,19,10,3,0,0
Michigan,ACADEMIC TRANSITIONAL ACADEMY,ACADEMIC TRANSITIONAL ACADEMY,MI,St. Clair,26147,09259,74908,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY ELEMEN,MI,Wayne,26163,09332,82921,,,32,37,56,73,39,42,17,14,0,0,38,43,32,36,17,33,25,26,20,12,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH S,MI,Wayne,26163,08435,82921,1,1,7,7,138,138,9,21,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,15,16,21,12,28,46,43,38,23,37,41,31,0,0
Michigan,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,MI,Saginaw,26145,08049,73903,2,1,2,,75,97,29,16,91,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,88,80,97,89,0,0
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,08294,82909,,,,,36,25,,,,,0,0,15,11,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,08950,82909,,,,1,104,99,,,2,,0,0,0,0,0,0,14,14,15,15,19,22,28,24,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,ACADEMY OF FLINT,ACADEMY OF FLINT,MI,Genesee,26049,08738,25908,2,2,,,241,266,3,3,1,5,0,0,13,18,22,27,25,32,32,29,38,31,35,28,22,34,37,37,23,40,0,0,0,0,0,0,0,0,0,0
Michigan,ACADEMY OF INKSTER,ACADEMY OF INKSTER,MI,Wayne,26163,08729,82961,,,,,78,128,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,22,30,18,37,14,33,0,0
Michigan,ACADEMY OF LATHRUP VILLAGE,ACADEMY OF LATHRUP VILLAGE,MI,Oakland,26125,08293,63904,,,,,184,162,,,,,0,0,17,12,16,21,19,15,12,24,16,9,18,11,22,19,24,26,40,25,0,0,0,0,0,0,0,0,0,0
