STATE NAME,AGENCY NAME- BY SURVEY YEAR (DISTRICT),SCHOOL NAME- BY SURVEY YEAR (SCHOOL),STATE ABBR (SCHOOL),COUNTY NAME (SCHOOL),COUNTY NUMBER (SCHOOL),STATE SCHOOL ID (SCHOOL),STATE AGENCY ID (SCHOOL),PK STUDENTS- AMER IND/AK NATIVE (SCHOOL),PK STUDENTS- ASIAN/PACIFIC ISLANDER (SCHOOL),PK STUDENTS- BLACK NON-HISPANIC (SCHOOL),PK STUDENTS- HISPANIC (SCHOOL),PK STUDENTS- WHITE NON-HISPANIC (SCHOOL),KG STUDENTS- AMER IND/AK NATIVE (SCHOOL),KG STUDENTS- ASIAN/PACIFIC ISLANDER (SCHOOL),KG STUDENTS- BLACK NON-HISPANIC (SCHOOL),KG STUDENTS- HISPANIC (SCHOOL),KG STUDENTS- WHITE NON-HISPANIC (SCHOOL),GRD 1 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 1 STUDENTS- ASIAN (SCHOOL),GRADE 1 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 1 STUDENTS- HISPANIC (SCHOOL),GRADE 1 STUDENTS- WHITE NON-HISPANIC (SCHOOL),GRD 2 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 2 STUDENTS- ASIAN (SCHOOL),GRADE 2 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 2 STUDENTS- HISPANIC (SCHOOL),GRADE 2 STUDENTS- WHITE NON-HISPANIC (SCHOOL),GRD 3 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 3 STUDENTS- ASIAN (SCHOOL),GRADE 3 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 3 STUDENTS- HISPANIC (SCHOOL),GRADE 3 STUDENTS- WHITE NON-HISPANIC (SCHOOL),GRD 4 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 4 STUDENTS- ASIAN (SCHOOL),GRADE 4 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 4 STUDENTS- HISPANIC (SCHOOL),GRADE 4 STUDENTS- WHITE NON-HISPANIC (SCHOOL),GRD 5 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 5 STUDENTS- ASIAN (SCHOOL),GRADE 5 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 5 STUDENTS- HISPANIC (SCHOOL),GRADE 5 STUDENTS- WHITE NON-HISPANIC (SCHOOL),GRD 6 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 6 STUDENTS- ASIAN (SCHOOL),GRADE 6 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 6 STUDENTS- HISPANIC (SCHOOL),GRADE 6 STUDENTS- WHITE NON-HISPANIC (SCHOOL)
Michigan,ACADEMIC AND CAREER EDUCATION ACADEMY,ACADEMIC AND CAREER EDUCATION ACADEMY,MI,Midland,26111,09696,56903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMIC TRANSITIONAL ACADEMY,ACADEMIC TRANSITIONAL ACADEMY,MI,St. Clair,26147,09259,74908,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY ELEMEN,MI,Wayne,26163,09332,82921,,,,,,0,37,19,19,6,0,19,26,17,6,0,7,22,15,6,0,3,33,10,5,0,2,15,13,2,0,1,14,7,6,,,,,
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH S,MI,Wayne,26163,08435,82921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,18,5,4
Michigan,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,MI,Saginaw,26145,08049,73903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,08294,82909,,,,,,0,0,26,0,0,0,0,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,08950,82909,,,,,,,,,,,,,,,,0,0,27,0,1,0,0,30,0,0,0,1,40,0,0,0,0,52,0,0,0,0,54,0,1
Michigan,ACADEMY OF FLINT,ACADEMY OF FLINT,MI,Genesee,26049,08738,25908,,,,,,0,0,31,0,0,0,0,48,1,0,0,0,56,1,0,1,0,57,1,2,1,0,68,0,0,1,0,61,1,0,0,0,53,1,2
Michigan,ACADEMY OF INKSTER,ACADEMY OF INKSTER,MI,Wayne,26163,08729,82961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF LATHRUP VILLAGE,ACADEMY OF LATHRUP VILLAGE,MI,Oakland,26125,08293,63904,,,,,,0,0,29,0,0,0,0,37,0,0,0,0,34,0,0,0,0,36,0,0,0,0,25,0,0,0,0,29,0,0,0,0,41,0,0
Michigan,ACADEMY OF OAK PARK,ACADEMY OF OAK PARK - ELEMENTARY SCHOOL,MI,Oakland,26125,08681,63902,,,,,,0,0,60,0,0,0,0,61,0,0,0,0,86,0,0,0,1,62,0,0,0,0,79,0,0,0,0,70,0,0,,,,,
Michigan,ACADEMY OF OAK PARK,ACADEMY OF OAK PARK - HIGH SCHOOL,MI,Oakland,26125,08291,63902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF OAK PARK,ACADEMY OF OAK PARK - MIDDLE SCHOOL,MI,Wayne,26163,09818,63902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,36,0,0
Michigan,ACADEMY OF SOUTHFIELD,ACADEMY OF SOUTHFIELD,MI,Oakland,26125,08292,63903,,,,,,0,0,19,0,0,1,0,36,0,0,0,0,39,0,0,0,0,38,0,0,1,0,42,0,0,0,0,33,0,0,1,0,46,0,0
Michigan,ACADEMY OF WARREN,ACADEMY OF WARREN,MI,Macomb,26099,09602,50911,,,,,,0,0,75,0,1,0,0,68,0,1,0,0,73,0,0,0,0,65,0,1,0,0,69,0,0,0,0,62,0,0,0,0,64,0,0
Michigan,ACADEMY OF WATERFORD,ACADEMY OF WATERFORD,MI,Oakland,26125,09293,63916,,,,,,0,0,12,4,8,0,0,10,5,9,1,0,9,7,7,1,0,11,7,12,1,0,15,4,5,0,0,12,3,8,2,0,10,6,10
Michigan,ACADEMY OF WESTLAND,ACADEMY OF WESTLAND,MI,Wayne,26163,08334,82912,,,,,,0,0,42,1,0,0,0,34,0,1,0,0,37,0,0,0,0,31,0,0,0,0,23,0,0,0,1,25,1,1,0,0,27,1,1
Michigan,ACE ACADEMY (SDA),ACE ACADEMY (SDA) - CALUMET CENTER,MI,Wayne,26163,09823,82998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACE ACADEMY (SDA),ACE ACADEMY (SDA) - ELIOT CENTER,MI,Wayne,26163,09824,82998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACE ACADEMY (SDA),ACE ACADEMY (SDA) - LINCOLN CENTER,MI,Wayne,26163,09850,82998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ADAMS TOWNSHIP SCHOOL DISTRICT,JEFFERS HIGH SCHOOL,MI,Houghton,26061,01893,31020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ADAMS TOWNSHIP SCHOOL DISTRICT,SOUTH RANGE ELEMENTARY SCHOOL,MI,Houghton,26061,03527,31020,,,,,,0,0,0,0,40,0,0,0,0,28,0,0,0,0,31,0,0,2,0,39,1,0,1,0,25,0,0,0,0,26,1,0,0,0,30
Michigan,ADDISON COMMUNITY SCHOOLS,ADDISON HIGH SCHOOL,MI,Lenawee,26091,00023,46020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ADDISON COMMUNITY SCHOOLS,ADDISON MIDDLE SCHOOL,MI,Lenawee,26091,06764,46020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,76
Michigan,ADDISON COMMUNITY SCHOOLS,WAYNE GRAY ELEMENTARY SCHOOL,MI,Lenawee,26091,05539,46020,,,,,,1,0,1,3,76,1,0,2,1,60,0,1,3,2,62,0,0,0,1,59,0,1,2,2,70,0,0,0,1,84,,,,,
Michigan,ADRIAN CITY SCHOOL DISTRICT,ADRIAN ADULT EDUCATION,MI,Lenawee,26091,07431,46010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ADRIAN CITY SCHOOL DISTRICT,ADRIAN HIGH SCHOOL,MI,Lenawee,26091,00027,46010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ADRIAN CITY SCHOOL DISTRICT,ADRIAN MIDDLE SCHOOL 5/6 BUILDING,MI,Lenawee,26091,00028,46010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,21,50,139,1,2,21,58,148
Michigan,ADRIAN CITY SCHOOL DISTRICT,ADRIAN MIDDLE SCHOOL 7/8 BUILDING,MI,Lenawee,26091,06301,46010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ADRIAN CITY SCHOOL DISTRICT,ALEXANDER ELEMENTARY SCHOOL,MI,Lenawee,26091,00046,46010,,,,,,0,3,3,22,72,0,2,4,13,61,0,1,2,15,75,0,0,5,16,65,0,1,2,19,50,,,,,,,,,,
Michigan,ADRIAN CITY SCHOOL DISTRICT,COMSTOCK SCHOOL,MI,Lenawee,26091,09311,46010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ADRIAN CITY SCHOOL DISTRICT,HEAD START AT GARFIELD,MI,Lenawee,26091,07940,46010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ADRIAN CITY SCHOOL DISTRICT,LINCOLN ELEMENTARY SCHOOL,MI,Lenawee,26091,02197,46010,,,,,,0,1,4,13,36,0,2,4,12,33,1,0,5,8,33,0,1,7,9,28,1,1,6,8,39,,,,,,,,,,
Michigan,ADRIAN CITY SCHOOL DISTRICT,MICHENER ELEMENTARY SCHOOL,MI,Lenawee,26091,09674,46010,,,,,,0,1,11,36,47,0,0,12,27,37,0,1,5,31,32,0,1,10,26,26,0,0,6,31,36,,,,,,,,,,
Michigan,ADRIAN CITY SCHOOL DISTRICT,PRAIRIE ELEMENTARY SCHOOL,MI,Lenawee,26091,09675,46010,,,,,,1,0,16,15,99,1,0,13,15,75,1,0,7,13,56,1,2,5,12,62,0,0,8,13,64,,,,,,,,,,
Michigan,ADVANCED TECHNOLOGY ACADEMY,ADVANCED TECHNOLOGY ACADEMY,MI,Wayne,26163,08707,63914,,,,,,0,0,41,1,0,0,0,55,0,0,0,0,64,1,1,0,0,62,0,0,0,0,53,0,0,0,1,49,0,0,0,1,83,3,0
Michigan,AGBU ALEX-MARIE MANOOGIAN SCHOOL,AGBU ALEX-MARIE MANOOGIAN SCHOOL,MI,Oakland,26125,08265,63901,,,,,,0,0,0,0,23,0,0,2,0,17,0,0,3,0,17,0,0,1,0,29,0,0,1,0,24,0,0,0,0,23,0,0,0,1,30
Michigan,AIRPORT COMMUNITY SCHOOL DISTRICT,AIRPORT SENIOR HIGH SCHOOL,MI,Monroe,26115,01086,58020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,AIRPORT COMMUNITY SCHOOL DISTRICT,FRED W. RITTER ELEMENTARY SCHOOL,MI,Monroe,26115,01312,58020,,,,,,0,0,4,0,43,0,0,4,1,47,1,0,1,0,46,1,1,1,1,48,0,0,3,1,46,0,0,5,3,46,,,,,
Michigan,AIRPORT COMMUNITY SCHOOL DISTRICT,JOSEPH C. STERLING ELEM. SCHOOL,MI,Monroe,26115,05782,58020,,,,,,0,1,2,2,43,0,0,2,2,51,0,1,0,1,53,1,0,2,2,48,1,1,2,2,50,0,0,3,3,51,,,,,
Michigan,AIRPORT COMMUNITY SCHOOL DISTRICT,LOREN EYLER ELEMENTARY SCHOOL,MI,Monroe,26115,02262,58020,,,,,,0,0,3,1,44,2,0,1,2,44,1,0,8,0,37,2,0,1,2,45,0,0,5,2,47,1,0,4,1,52,,,,,
Michigan,AIRPORT COMMUNITY SCHOOL DISTRICT,NIEDERMEIER ELEMENTARY SCHOOL,MI,Monroe,26115,01639,58020,,,,,,0,0,0,1,40,0,0,1,1,44,0,0,0,4,42,0,0,1,4,22,0,0,3,5,40,0,1,1,1,51,,,,,
Michigan,AIRPORT COMMUNITY SCHOOL DISTRICT,WAGAR JUNIOR HIGH SCHOOL,MI,Monroe,26115,06362,58020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,6,233
Michigan,AISHA SHULE/WEB DUBOIS PREP. ACADEMY SCHOOL,AISHA SHULE/WEB DUBOIS PREP. ACADEMY SCHOO,MI,Wayne,26163,08047,82903,,,,,,0,0,16,0,0,0,0,18,0,0,0,0,14,0,0,0,0,14,0,0,0,0,21,0,0,0,1,17,0,0,0,0,15,0,0
Michigan,AKRON-FAIRGROVE SCHOOLS,AKRON-FAIRGROVE ELEM. SCHOOL,MI,Tuscola,26157,00033,79010,,,,,,0,0,0,1,19,0,0,0,2,18,0,0,0,3,21,0,0,0,1,11,0,0,0,2,28,0,0,1,1,22,0,0,0,2,18
Michigan,AKRON-FAIRGROVE SCHOOLS,AKRON-FAIRGROVE JR/SR HIGH SCHOOL,MI,Tuscola,26157,00034,79010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ALBA PUBLIC SCHOOLS,ALBA SCHOOL,MI,Antrim,26009,06938,05010,,,,,,0,0,0,1,14,1,0,0,0,22,1,0,0,1,11,0,0,0,0,16,2,0,1,0,12,0,0,0,1,15,2,0,0,1,12
Michigan,ALBION PUBLIC SCHOOLS,ALBION ALTERNATIVE EDUCATION,MI,Calhoun,26025,07819,13010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ALBION PUBLIC SCHOOLS,ALBION SENIOR HIGH SCHOOL,MI,Calhoun,26025,04936,13010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
