STATE NAME,AGENCY NAME- BY SURVEY YEAR (DISTRICT),SCHOOL NAME- BY SURVEY YEAR (SCHOOL),STATE ABBR (SCHOOL),COUNTY NAME (SCHOOL),COUNTY NUMBER (SCHOOL),STATE SCHOOL ID (SCHOOL),STATE AGENCY ID (SCHOOL),GRADE 7- AM IND/ AK NATIVE- MALE (SCHOOL),GRADE 7- AM IND/ AK NATIVE- FEMALE (SCHOOL),GRADE 7- ASIAN/ PACIFIC ISLAND- MALE (SCHOOL),GRADE 7- ASIAN/PACIFIC ISLAND- FEMALE (SCHOOL),GRADE 7- BLACK NON-HISPANIC- MALE (SCHOOL),GRADE 7- BLACK NON-HISPANIC- FEMALE (SCHOOL),GRADE 7- HISPANIC- MALE (SCHOOL),GRADE 7- HISPANIC- FEMALE (SCHOOL),GRADE 7- WHITE NON-HISPANIC- MALE (SCHOOL),GRADE 7- WHITE NON-HISPANIC- FEMALE (SCHOOL),GRADE 8- AM IND/ AK NATIVE- MALE (SCHOOL),GRADE 8- AM IND/ AK NATIVE- FEMALE (SCHOOL),GRADE 8- ASIAN/PACIFIC ISLAND- MALE (SCHOOL),GRADE 8- ASIAN/PACIFIC ISLAND- FEMALE (SCHOOL),GRADE 8- BLACK NON-HISPANIC- MALE (SCHOOL),GRADE 8- BLACK NON-HISPANIC- FEMALE (SCHOOL),GRADE 8- HISPANIC- MALE (SCHOOL),GRADE 8- HISPANIC- FEMALE (SCHOOL),GRADE 8- WHITE NON-HISPANIC- MALE (SCHOOL),GRADE 8- WHITE NON-HISPANIC- FEMALE (SCHOOL),GRADE 9- AM IND/ AK NATIVE- MALE (SCHOOL),GRADE 9- AM IND/ AK NATIVE-  FEMALE (SCHOOL),GRADE 9- ASIAN/ PACIFIC ISLAND- MALE (SCHOOL),GRADE 9- ASIAN/PACIFIC ISLAND- FEMALE (SCHOOL),GRADE 9- BLACK NON-HISPANIC- MALE (SCHOOL),GRADE 9- BLACK NON-HISPANIC- FEMALE (SCHOOL),GRADE 9- HISPANIC- MALE (SCHOOL),GRADE 9- HISPANIC- FEMALE (SCHOOL),GRADE 9- WHITE NON-HISPANIC- MALE (SCHOOL),GRADE 9- WHITE NON-HISPANIC- FEMALE (SCHOOL),GRADE 10- AM IND/ AK NATIVE- MALE (SCHOOL),GRADE 10- AM IND/ AK NATIVE- FEMALE (SCHOOL),GRADE 10- ASIAN/PACIFIC ISLAND- MALE (SCHOOL),GRADE 10- ASIAN/PACIFIC ISLAND- FEMALE (SCHOOL),GRADE 10- BLACK NON-HISPANIC- MALE (SCHOOL),GRADE 10- BLACK NON-HISPANIC- FEMALE (SCHOOL),GRADE 10- HISPANIC- MALE (SCHOOL),GRADE 10- HISPANIC- FEMALE (SCHOOL),GRADE 10- WHITE NON-HISPANIC- MALE (SCHOOL),GRADE 10- WHITE NON-HISPANIC- FEMALE (SCHOOL)
Michigan,ACADEMIC AND CAREER EDUCATION ACADEMY,ACADEMIC AND CAREER EDUCATION ACADEMY,MI,Midland,26111,09696,56903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,28,18
Michigan,ACADEMIC TRANSITIONAL ACADEMY,ACADEMIC TRANSITIONAL ACADEMY,MI,St. Clair,26147,09259,74908,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY ELEMEN,MI,Wayne,26163,09332,82921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH S,MI,Wayne,26163,08435,82921,0,0,0,0,11,13,2,1,2,2,0,0,1,1,11,8,2,2,7,1,1,0,1,0,21,38,1,4,4,4,0,0,1,1,36,28,2,5,4,4
Michigan,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,MI,Saginaw,26145,08049,73903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,9,6,3,1,2,0
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,08294,82909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,08950,82909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF FLINT,ACADEMY OF FLINT,MI,Genesee,26049,08738,25908,0,1,0,0,37,35,0,0,0,1,0,0,0,0,23,38,0,1,0,1,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF INKSTER,ACADEMY OF INKSTER,MI,Wayne,26163,08729,82961,,,,,,,,,,,,,,,,,,,,,0,0,0,0,24,28,0,0,0,0,0,0,0,0,22,30,0,0,0,0
Michigan,ACADEMY OF LATHRUP VILLAGE,ACADEMY OF LATHRUP VILLAGE,MI,Oakland,26125,08293,63904,0,0,0,0,24,26,0,0,0,0,0,0,0,0,40,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF OAK PARK,ACADEMY OF OAK PARK - ELEMENTARY SCHOOL,MI,Oakland,26125,08681,63902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF OAK PARK,ACADEMY OF OAK PARK - HIGH SCHOOL,MI,Oakland,26125,08291,63902,,,,,,,,,,,,,,,,,,,,,0,0,1,0,62,89,0,0,0,0,0,0,0,1,62,71,0,0,0,0
Michigan,ACADEMY OF OAK PARK,ACADEMY OF OAK PARK - MIDDLE SCHOOL,MI,Wayne,26163,09818,63902,0,0,0,0,38,36,0,0,0,0,0,0,0,0,37,37,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF SOUTHFIELD,ACADEMY OF SOUTHFIELD,MI,Oakland,26125,08292,63903,0,0,0,1,38,27,0,0,0,0,0,0,0,0,23,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF WARREN,ACADEMY OF WARREN,MI,Macomb,26099,09602,50911,0,0,0,0,41,48,0,0,0,0,0,0,0,0,36,53,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF WATERFORD,ACADEMY OF WATERFORD,MI,Oakland,26125,09293,63916,0,0,0,0,7,10,2,3,6,4,0,0,1,0,4,5,2,0,0,2,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF WESTLAND,ACADEMY OF WESTLAND,MI,Wayne,26163,08334,82912,1,0,0,0,22,11,0,0,0,0,0,0,0,0,13,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Michigan,ACE ACADEMY (SDA),ACE ACADEMY (SDA) - CALUMET CENTER,MI,Wayne,26163,09823,82998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACE ACADEMY (SDA),ACE ACADEMY (SDA) - ELIOT CENTER,MI,Wayne,26163,09824,82998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACE ACADEMY (SDA),ACE ACADEMY (SDA) - LINCOLN CENTER,MI,Wayne,26163,09850,82998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ADAMS TOWNSHIP SCHOOL DISTRICT,JEFFERS HIGH SCHOOL,MI,Houghton,26061,01893,31020,0,0,0,1,0,0,0,0,13,12,0,0,0,0,0,0,0,0,18,26,0,0,0,0,0,0,0,0,19,15,0,0,2,0,0,0,0,0,15,12
Michigan,ADAMS TOWNSHIP SCHOOL DISTRICT,SOUTH RANGE ELEMENTARY SCHOOL,MI,Houghton,26061,03527,31020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ADDISON COMMUNITY SCHOOLS,ADDISON HIGH SCHOOL,MI,Lenawee,26091,00023,46020,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,1,52,41,0,0,0,0,0,1,2,0,61,46
