National Center for Education Statistics
Common Core of Data (CCD)  "Public Elementary/Secondary School Universe Survey"   2007-08 v.1a
Common Core of Data (CCD)  "Local Education Agency Universe Survey"   2007-08 v.1a

The file contains (4097) records based on your search.

*NCES is not responsible for the manner in which this information is presented. This information is provided as an extra service to the user. To download full CCD datasets please go to the CCD home page.

Table by School
School Year 2007-2008
STATE NAME,AGENCY NAME- BY SURVEY YEAR (DISTRICT),SCHOOL NAME- BY SURVEY YEAR (SCHOOL),STATE ABBR (SCHOOL),COUNTY NAME (SCHOOL),COUNTY NUMBER (SCHOOL),SCHOOL TYPE- MOST RECENT YEAR (SCHOOL),AGENCY TYPE- MOST RECENT YEAR (DISTRICT),SCHOOL ID- NCES ASSIGNED (SCHOOL),AGENCY ID- NCES (DISTRICT),CHARTER SCHOOL (SCHOOL),MAGNET SCHOOL (SCHOOL),SHARED TIME SCHOOL (SCHOOL),URBAN- CENTRIC LOCALE (SCHOOL),SCHOOL-WIDE TITLE I (SCHOOL),TITLE I ELIGIBLE SCHOOL (SCHOOL),STATE FIPS,CBSA NAME (DISTRICT),CBSA ID (DISTRICT),CSA NAME (DISTRICT),CSA ID (DISTRICT),OPERATIONAL STATUS (SCHOOL),LATITUDE (SCHOOL),LONGITUDE (SCHOOL),STATE SCHOOL ID (SCHOOL),STATE AGENCY ID (SCHOOL),CONGRESSIONAL CODE (SCHOOL),PREKINDERGARTEN STUDENTS (SCHOOL),KINDERGARTEN STUDENTS (SCHOOL),FIRST GRADE STUDENTS (SCHOOL),SECOND GRADE STUDENTS (SCHOOL),THIRD GRADE STUDENTS (SCHOOL),FOURTH GRADE STUDENTS (SCHOOL),FIFTH GRADE STUDENTS (SCHOOL),SIXTH GRADE STUDENTS (SCHOOL),SEVENTH GRADE STUDENTS (SCHOOL),EIGHTH GRADE STUDENTS (SCHOOL),NINTH GRADE STUDENTS (SCHOOL),TENTH GRADE STUDENTS (SCHOOL),ELEVENTH GRADE STUDENTS (SCHOOL),TWELFTH GRADE STUDENTS (SCHOOL),UNGRADED STUDENTS (SCHOOL),FREE LUNCH ELIGIBLE (SCHOOL),REDUCED-PRICE LUNCH ELIGIBLE (SCHOOL),FREE AND REDUCED LUNCH (SCHOOL),PUPIL/TEACHER RATIO (SCHOOL),FTE TEACHERS (SCHOOL),SCHOOL LEVEL CODE (SCHOOL),LOW GRADE (SCHOOL),HIGH GRADE (SCHOOL)
Michigan,ACADEMIC AND CAREER EDUCATION ACADEMY,ACADEMIC AND CAREER EDUCATION ACADEMY,MI,Midland,26111,Regular School,Charter school agency,260033004509,2600330,Yes,No,No,Rural: Fringe,No,Yes,26 - Michigan,Midland MI,33220,,,Operational,43.612260,-84.334810,09696,56903,2604,,,,,,,,,,,,49,40,13,,28,4,32,14.0,7.3,High,10th Grade,12th Grade
Michigan,ACADEMIC TRANSITIONAL ACADEMY,ACADEMIC TRANSITIONAL ACADEMY,MI,St. Clair,26147,Vocational School,Charter school agency,260033407170,2600334,Yes,No,No,Suburb: Small,,,26 - Michigan,Detroit-Warren-Livonia MI,19820,,,Operational,42.951890,-82.481760,09259,74908,2610,0,,,,,,,,,,0,0,,,,,,,0.0,6.0,Other,9th Grade,10th Grade
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY ELEMEN,MI,Wayne,26163,Regular School,Charter school agency,260016601667,2600166,Yes,No,No,City: Small,No,Yes,26 - Michigan,Detroit-Warren-Livonia MI,19820,,,Operational,42.326490,-83.175500,09332,82921,2614,,81,68,50,51,32,28,,,,,,,,,233,25,258,19.6,15.8,Primary,Kindergarten,5th Grade
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH S,MI,Wayne,26163,Regular School,Charter school agency,260016601035,2600166,Yes,No,No,Suburb: Large,Yes,Yes,26 - Michigan,Detroit-Warren-Livonia MI,19820,,,Operational,42.273800,-83.196800,08435,82921,2614,,,,,,,,28,31,33,74,81,60,72,,286,29,315,14.6,26.0,Other,6th Grade,12th Grade
Michigan,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,MI,Saginaw,26145,Vocational School,Charter school agency,260011700714,2600117,Yes,No,Yes,City: Small,,No,26 - Michigan,Saginaw-Saginaw Township North MI,40980,,,Operational,43.444010,-83.968180,08049,73903,2604,,,,,,,,,,,,21,168,186,,107,10,117,34.1,11.0,High,10th Grade,12th Grade
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,Regular School,Charter school agency,260013000780,2600130,Yes,No,No,City: Large,Yes,Yes,26 - Michigan,Detroit-Warren-Livonia MI,19820,,,Operational,42.415730,-83.209160,08294,82909,2614,,26,35,,,,,,,,,,,,,50,5,55,20.3,3.0,Primary,Kindergarten,1st Grade
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,Regular School,Charter school agency,260013001292,2600130,Yes,No,No,Suburb: Large,Yes,Yes,26 - Michigan,Detroit-Warren-Livonia MI,19820,,,Operational,42.368650,-83.272500,08950,82909,2611,,,,28,30,41,52,55,,,,,,,,144,11,155,10.8,19.0,Primary,2nd Grade,6th Grade
Michigan,ACADEMY OF FLINT,ACADEMY OF FLINT,MI,Genesee,26049,Regular School,Charter school agency,260019801107,2600198,Yes,No,No,Rural: Fringe,Yes,Yes,26 - Michigan,Flint MI,22420,,,Operational,43.090010,-83.756520,08738,25908,2605,,31,49,57,61,69,63,56,74,63,,,,,,439,11,450,18.0,29.0,Primary,Kindergarten,8th Grade
Michigan,ACADEMY OF INKSTER,ACADEMY OF INKSTER,MI,Wayne,26163,Regular School,Charter school agency,260024701217,2600247,Yes,No,No,Suburb: Large,Yes,Yes,26 - Michigan,Detroit-Warren-Livonia MI,19820,,,Operational,42.304150,-83.321190,08729,82961,2615,,,,,,,,,,,52,52,55,47,,76,7,83,17.2,12.0,High,9th Grade,12th Grade
Michigan,ACADEMY OF LATHRUP VILLAGE,ACADEMY OF LATHRUP VILLAGE,MI,Oakland,26125,Regular School,Charter school agency,260010900691,2600109,Yes,No,No,Suburb: Large,Yes,Yes,26 - Michigan,Detroit-Warren-Livonia MI,19820,,,Operational,42.493040,-83.220690,08293,63904,2612,,29,37,34,36,25,29,41,50,65,,,,,,185,53,238,13.3,26.0,Primary,Kindergarten,8th Grade
