National Center for Education Statistics
Common Core of Data (CCD)  "Public Elementary/Secondary School Universe Survey"   2007-08 v.1a

The file contains (4097) records based on your search.

*NCES is not responsible for the manner in which this information is presented. This information is provided as an extra service to the user. To download full CCD datasets please go to the CCD home page.

Table by School
School Year 2007-2008
STATE NAME,AGENCY NAME- BY SURVEY YEAR (DISTRICT),SCHOOL NAME- BY SURVEY YEAR (SCHOOL),STATE ABBR (SCHOOL),COUNTY NAME (SCHOOL),COUNTY NUMBER (SCHOOL),STATE SCHOOL ID (SCHOOL),STATE AGENCY ID (SCHOOL),GRD 7 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 7 STUDENTS- ASIAN (SCHOOL),GRADE 7 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 7 STUDENTS- HISPANIC (SCHOOL),GRADE 7 STUDENTS- WHITE NON-HISPANIC (SCHOOL),GRD 8 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 8 STUDENTS- ASIAN (SCHOOL),GRADE 8 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 8 STUDENTS- HISPANIC (SCHOOL),GRADE 8 STUDENTS- WHITE NON-HISPANIC (SCHOOL),GRD 9 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 9 STUDENTS- ASIAN (SCHOOL),GRADE 9 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 9 STUDENTS- HISPANIC (SCHOOL),GRADE 9 STUDENTS- WHITE NON-HISPANIC (SCHOOL),GRD 10 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 10 STUDENTS- ASIAN (SCHOOL),GRADE 10 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 10 STUDENTS- HISPANIC (SCHOOL),GRADE 10 STUDENTS- WHITE NON-HISPANIC (SCHOOL),GRD 11 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 11 STUDENTS- ASIAN (SCHOOL),GRADE 11 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 11 STUDENTS- HISPANIC (SCHOOL),GRADE 11 STUDENTS- WHITE NON-HISPANIC (SCHOOL),GRD 12 STUDENTS- AMER IND/AK NATIVE (SCHOOL),GRADE 12 STUDENTS- ASIAN (SCHOOL),GRADE 12 STUDENTS- BLACK NON-HISPANIC (SCHOOL),GRADE 12 STUDENTS- HISPANIC (SCHOOL),GRADE 12 STUDENTS- WHITE NON-HISPANIC (SCHOOL),UG STUDENTS- AMER IND/AK NATIVE (SCHOOL),UNGRADED STUDENTS- ASIAN (SCHOOL),UNGRADED STUDENTS- BLACK NON-HISPANIC (SCHOOL),UNGRADED STUDENTS- HISPANIC (SCHOOL),UNGRADED STUDENTS- WHITE NON-HISPANIC (SCHOOL)
Michigan,ACADEMIC AND CAREER EDUCATION ACADEMY,ACADEMIC AND CAREER EDUCATION ACADEMY,MI,Midland,26111,09696,56903,,,,,,,,,,,,,,,,1,0,1,1,46,2,0,1,2,35,0,0,2,0,11,,,,,
Michigan,ACADEMIC TRANSITIONAL ACADEMY,ACADEMIC TRANSITIONAL ACADEMY,MI,St. Clair,26147,09259,74908,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY ELEMEN,MI,Wayne,26163,09332,82921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH S,MI,Wayne,26163,08435,82921,0,0,24,3,4,0,2,19,4,8,1,1,59,5,8,0,2,64,7,8,0,5,40,5,10,1,3,52,1,15,,,,,
Michigan,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,MI,Saginaw,26145,08049,73903,,,,,,,,,,,,,,,,0,0,15,4,2,2,1,85,19,61,1,1,72,22,90,,,,,
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,08294,82909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,08950,82909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF FLINT,ACADEMY OF FLINT,MI,Genesee,26049,08738,25908,1,0,72,0,1,0,0,61,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF INKSTER,ACADEMY OF INKSTER,MI,Wayne,26163,08729,82961,,,,,,,,,,,0,0,52,0,0,0,0,52,0,0,0,0,55,0,0,0,0,47,0,0,,,,,
Michigan,ACADEMY OF LATHRUP VILLAGE,ACADEMY OF LATHRUP VILLAGE,MI,Oakland,26125,08293,63904,0,0,50,0,0,0,0,65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF OAK PARK,ACADEMY OF OAK PARK - ELEMENTARY SCHOOL,MI,Oakland,26125,08681,63902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF OAK PARK,ACADEMY OF OAK PARK - HIGH SCHOOL,MI,Oakland,26125,08291,63902,,,,,,,,,,,0,1,151,0,0,0,1,133,0,0,0,1,105,0,0,0,0,134,0,0,,,,,
