National Center for Education Statistics
Common Core of Data (CCD)  "Public Elementary/Secondary School Universe Survey"   2007-08 v.1a

The file contains (4097) records based on your search.

*NCES is not responsible for the manner in which this information is presented. This information is provided as an extra service to the user. To download full CCD datasets please go to the CCD home page.

Table by School
School Year 2007-2008
STATE NAME,AGENCY NAME- BY SURVEY YEAR (DISTRICT),SCHOOL NAME- BY SURVEY YEAR (SCHOOL),STATE ABBR (SCHOOL),COUNTY NAME (SCHOOL),COUNTY NUMBER (SCHOOL),STATE SCHOOL ID (SCHOOL),STATE AGENCY ID (SCHOOL),GRADE 3- AM IND/ AK NATIVE- MALE (SCHOOL),GRADE 3- AM IND/ AK NATIVE- FEMALE (SCHOOL),GRADE 3- ASIAN/PACIFIC ISLAND- MALE (SCHOOL),GRADE 3- ASIAN/PACIFIC ISLAND- FEMALE (SCHOOL),GRADE 3- BLACK NON-HISPANIC- MALE (SCHOOL),GRADE 3- BLACK NON-HISPANIC- FEMALE (SCHOOL),GRADE 3- HISPANIC- MALE (SCHOOL),GRADE 3- HISPANIC- FEMALE (SCHOOL),GRADE 3- WHITE NON-HISPANIC- MALE (SCHOOL),GRADE 3- WHITE NON-HISPANIC- FEMALE (SCHOOL),GRADE 4- AM IND/ AK NATIVE- MALE (SCHOOL),GRADE 4- AM IND/ AK NATIVE- FEMALE (SCHOOL),GRADE 4- ASIAN/PACIFIC ISLAND- MALE (SCHOOL),GRADE 4- ASIAN/PACIFIC ISLAND- FEMALE (SCHOOL),GRADE 4- BLACK NON-HISPANIC- MALE (SCHOOL),GRADE 4- BLACK NON-HISPANIC- FEMALE (SCHOOL),GRADE 4- HISPANIC- MALE (SCHOOL),GRADE 4- HISPANIC- FEMALE (SCHOOL),GRADE 4- WHITE NON-HISPANIC- MALE (SCHOOL),GRADE 4- WHITE NON-HISPANIC- FEMALE (SCHOOL),GRADE 5- AM IND/ AK NATIVE- MALE (SCHOOL),GRADE 5- AM IND/ AK NATIVE- FEMALE (SCHOOL),GRADE 5- ASIAN/PACIFIC ISLAND- MALE (SCHOOL),GRADE 5- ASIAN/PACIFIC ISLAND- FEMALE (SCHOOL),GRADE 5- BLACK NON-HISPANIC- MALE (SCHOOL),GRADE 5- BLACK NON-HISPANIC- FEMALE (SCHOOL),GRADE 5- HISPANIC- MALE (SCHOOL),GRADE 5- HISPANIC- FEMALE (SCHOOL),GRADE 5- WHITE NON-HISPANIC- MALE (SCHOOL),GRADE 5- WHITE NON-HISPANIC- FEMALE (SCHOOL),GRADE 6- AM IND/ AK NATIVE- MALE (SCHOOL),GRADE 6- AM IND/ AK NATIVE- FEMALE (SCHOOL),GRADE 6- ASIAN/PACIFIC ISLAND- MALE (SCHOOL),GRADE 6- ASIAN/PACIFIC ISLAND- FEMALE (SCHOOL),GRADE 6- BLACK NON-HISPANIC- MALE (SCHOOL),GRADE 6- BLACK NON-HISPANIC- FEMALE (SCHOOL),GRADE 6- HISPANIC- MALE (SCHOOL),GRADE 6- HISPANIC- FEMALE (SCHOOL),GRADE 6- WHITE NON-HISPANIC- MALE (SCHOOL),GRADE 6- WHITE NON-HISPANIC- FEMALE (SCHOOL)
Michigan,ACADEMIC AND CAREER EDUCATION ACADEMY,ACADEMIC AND CAREER EDUCATION ACADEMY,MI,Midland,26111,09696,56903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMIC TRANSITIONAL ACADEMY,ACADEMIC TRANSITIONAL ACADEMY,MI,St. Clair,26147,09259,74908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY ELEMEN,MI,Wayne,26163,09332,82921,0,0,1,2,17,16,4,6,3,2,0,0,1,1,10,5,8,5,1,1,0,0,0,1,6,8,3,4,3,3,,,,,,,,,,
Michigan,ACADEMY FOR BUSINESS AND TECHNOLOGY,ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH S,MI,Wayne,26163,08435,82921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,12,6,0,5,2,2
Michigan,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,ACADEMY FOR TECHNOLOGY AND ENTERPRISE,MI,Saginaw,26145,08049,73903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,08294,82909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF DETROIT-WEST,ACADEMY OF DETROIT-WEST,MI,Wayne,26163,08950,82909,0,0,0,0,15,15,0,0,0,0,0,0,0,1,19,21,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,0,29,25,0,0,1,0
Michigan,ACADEMY OF FLINT,ACADEMY OF FLINT,MI,Genesee,26049,08738,25908,1,0,0,0,29,28,1,0,1,1,0,1,0,0,38,30,0,0,0,0,1,0,0,0,33,28,1,0,0,0,0,0,0,0,22,31,0,1,0,2
Michigan,ACADEMY OF INKSTER,ACADEMY OF INKSTER,MI,Wayne,26163,08729,82961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF LATHRUP VILLAGE,ACADEMY OF LATHRUP VILLAGE,MI,Oakland,26125,08293,63904,0,0,0,0,12,24,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,22,19,0,0,0,0
Michigan,ACADEMY OF OAK PARK,ACADEMY OF OAK PARK - ELEMENTARY SCHOOL,MI,Oakland,26125,08681,63902,0,0,0,1,35,27,0,0,0,0,0,0,0,0,40,39,0,0,0,0,0,0,0,0,42,28,0,0,0,0,,,,,,,,,,
Michigan,ACADEMY OF OAK PARK,ACADEMY OF OAK PARK - HIGH SCHOOL,MI,Oakland,26125,08291,63902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,ACADEMY OF OAK PARK,ACADEMY OF OAK PARK - MIDDLE SCHOOL,MI,Wayne,26163,09818,63902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,20,16,0,0,0,0
